2013-01-01 ,   , 理财业务 , 中银理财 , 2596 , 348304 , 1344
2013-05-01 ,   , 理财业务 , 基金 , 3638 , 331084 , 875
2013-05-16 ,   , 理财业务 , 基金 , 1327 , 384562 , 4068
2013-05-31 ,   , 理财业务 , 基金 , 2919 , 876611 , 3107
2013-06-15 ,   , 理财业务 , 基金 , 1931 , 312618 , 2623
2013-06-30 ,   , 理财业务 , 基金 , 3134 , 312345 , 1562
2013-07-15 ,   , 理财业务 , 基金 , 1413 , 282446 , 1401
2013-07-30 ,   , 理财业务 , 基金 , 3714 , 343584 , 618
2013-08-14 ,   , 理财业务 , 基金 , 2615 , 329615 , 2693
2013-08-29 ,   , 理财业务 , 基金 , 3521 , 629122 , 2183
2013-09-13 ,   , 理财业务 , 基金 , 3392 , 96657 , 3642
2013-09-28 ,   , 理财业务 , 基金 , 1746 , 121174 , 3384
2013-10-13 ,   , 理财业务 , 基金 , 3666 , 407580 , 675
2013-01-01 ,   , 理财业务 , 贵金属 , 1869 , 607573 , 3633
2013-01-16 ,   , 理财业务 , 贵金属 , 1730 , 565383 , 2743
2013-01-31 ,   , 理财业务 , 贵金属 , 2493 , 55306 , 3344
2013-02-15 ,   , 理财业务 , 贵金属 , 1225 , 800619 , 1431
2013-03-02 ,   , 理财业务 , 贵金属 , 2759 , 556156 , 1084
2013-03-17 ,   , 理财业务 , 贵金属 , 1667 , 816475 , 1117
2013-04-01 ,   , 理财业务 , 贵金属 , 2160 , 323060 , 1127
2013-04-16 ,   , 理财业务 , 贵金属 , 1194 , 321523 , 1118
2013-05-01 ,   , 理财业务 , 贵金属 , 3775 , 637282 , 3933
2013-05-16 ,   , 理财业务 , 贵金属 , 1539 , 578232 , 4571
2013-05-31 ,   , 理财业务 , 贵金属 , 2987 , 970455 , 4856
2013-06-15 ,   , 理财业务 , 贵金属 , 1842 , 297296 , 2901
2013-06-30 ,   , 理财业务 , 贵金属 , 2194 , 367305 , 4374
2013-07-15 ,   , 理财业务 , 贵金属 , 2896 , 668310 , 4587
2013-07-30 ,   , 理财业务 , 贵金属 , 1444 , 102689 , 1870
2013-08-14 ,   , 理财业务 , 贵金属 , 1718 , 61019 , 4839
2013-08-29 ,   , 理财业务 , 贵金属 , 1453 , 157464 , 1624
2013-09-13 ,   , 理财业务 , 贵金属 , 3210 , 226316 , 3113
2013-09-28 ,   , 理财业务 , 贵金属 , 2547 , 389071 , 1173
2013-10-13 ,   , 理财业务 , 贵金属 , 2630 , 546361 , 4347
2013-01-01 ,   , 理财业务 , 证券期货 , 2519 , 250373 , 3073
2013-01-16 ,   , 理财业务 , 证券期货 , 2647 , 30233 , 4057
2013-01-31 ,   , 理财业务 , 证券期货 , 2750 , 481381 , 1582
2013-02-15 ,   , 理财业务 , 证券期货 , 1018 , 999275 , 3211
2013-03-02 ,   , 理财业务 , 证券期货 , 1900 , 715431 , 4285
2013-03-17 ,   , 理财业务 , 证券期货 , 3751 , 263867 , 1452
2013-04-01 ,   , 理财业务 , 证券期货 , 3064 , 54359 , 2450
2013-04-16 ,   , 理财业务 , 证券期货 , 2000 , 811923 , 1441
2013-05-01 ,   , 理财业务 , 证券期货 , 1532 , 445905 , 4613
2013-05-16 ,   , 理财业务 , 证券期货 , 3494 , 764519 , 4163
2013-05-31 ,   , 理财业务 , 证券期货 , 3253 , 935307 , 996
2013-06-15 ,   , 理财业务 , 证券期货 , 2594 , 145817 , 1030
2013-06-30 ,   , 理财业务 , 证券期货 , 2389 , 39472 , 1221
2013-07-15 ,   , 理财业务 , 证券期货 , 1623 , 579472 , 2658
2013-07-30 ,   , 理财业务 , 证券期货 , 3612 , 841606 , 2788
2013-08-14 ,   , 理财业务 , 证券期货 , 3775 , 490057 , 4951
2013-08-29 ,   , 理财业务 , 证券期货 , 1100 , 254415 , 1998
2013-09-13 ,   , 理财业务 , 证券期货 , 3243 , 472029 , 1618
2013-09-28 ,   , 理财业务 , 证券期货 , 1427 , 574837 , 1251
2013-10-13 ,   , 理财业务 , 证券期货 , 2153 , 713658 , 2071
2013-01-01 ,   , 理财业务 , 国债 , 3437 , 899715 , 2001
2013-01-16 ,   , 理财业务 , 国债 , 1432 , 475184 , 4817
2013-01-31 ,   , 理财业务 , 国债 , 1961 , 794983 , 992
2013-02-15 ,   , 理财业务 , 国债 , 3959 , 49604 , 2386
2013-03-02 ,   , 理财业务 , 国债 , 3356 , 948544 , 4443
2013-03-17 ,   , 理财业务 , 国债 , 3195 , 693526 , 1963
2013-04-01 ,   , 理财业务 , 国债 , 1127 , 11161 , 1612
2013-04-16 ,   , 理财业务 , 国债 , 2397 , 724803 , 4326
2013-05-01 ,   , 理财业务 , 国债 , 1614 , 76395 , 2591
2013-05-16 ,   , 理财业务 , 国债 , 2004 , 955393 , 2333
2013-05-31 ,   , 理财业务 , 国债 , 3728 , 787322 , 4338
2013-06-15 ,   , 理财业务 , 国债 , 3306 , 712920 , 4234
2013-06-30 ,   , 理财业务 , 国债 , 2639 , 322680 , 4226
2013-07-15 ,   , 理财业务 , 国债 , 1116 , 562905 , 2420
2013-07-30 ,   , 理财业务 , 国债 , 3335 , 962556 , 1666
2013-08-14 ,   , 理财业务 , 国债 , 3561 , 809389 , 1178
2013-08-29 ,   , 理财业务 , 国债 , 3426 , 567320 , 2167
2013-09-13 ,   , 理财业务 , 国债 , 3645 , 572687 , 2968
2013-09-28 ,   , 理财业务 , 国债 , 1885 , 464044 , 2354
2013-10-13 ,   , 理财业务 , 国债 , 3302 , 112729 , 2638
